api,category,doc
floor,index,Perform floor operation on the data to the specified freq.
ceil,index,Perform ceil operation on the data to the specified freq.
month_name,index,Return the month names of the DateTimeIndex with specified locale.
day_name,index,Return the day names of the DateTimeIndex with specified locale.
to_period,index,Cast to PeriodArray/Index at a particular frequency.
to_perioddelta,index,Calculate TimedeltaArray of difference between index values and index converted to PeriodArray at specified freq.
to_pydatetime,index,Return Datetime Array/Index as object ndarray of datetime.datetime objects.
to_series,index,Create a Series with both index and values equal to the index keys useful with map for returning an indexer based on an index.
to_frame,index,Create a DataFrame with a column containing the Index.
mean,index,Return the mean value of the Array.
TimedeltaIndex,TimedeltaIndex,Immutable ndarray of timedelta64 data  represented internally as int64  and which can be boxed to timedelta objects.
days,index,Number of days for each element.
seconds,index,Number of seconds (>= 0 and less than 1 day) for each element.
microseconds,index,Number of microseconds (>= 0 and less than 1 second) for each element.
nanoseconds,index,Number of nanoseconds (>= 0 and less than 1 microsecond) for each element.
components,index,Return a dataframe of the components (days  hours  minutes  seconds  milliseconds  microseconds  nanoseconds) of the Timedeltas.
inferred_freq,index,Tries to return a string representing a frequency guess  generated by infer_freq.
to_pytimedelta,index,Return Timedelta Array/Index as object ndarray of datetime.timedelta objects.
to_series,index,Create a Series with both index and values equal to the index keys.
round,index,Perform round operation on the data to the specified freq.
floor,index,Perform floor operation on the data to the specified freq.
ceil,index,Perform ceil operation on the data to the specified freq.
to_frame,index,Create a DataFrame with a column containing the Index.
mean,index,Return the mean value of the Array.
PeriodIndex,PeriodIndex,Immutable ndarray holding ordinal values indicating regular periods in time.
day,index,The days of the period.
dayofweek,index,The day of the week with Monday=0  Sunday=6.
day_of_week,index,The day of the week with Monday=0  Sunday=6.
dayofyear,index,The ordinal day of the year.
day_of_year,index,The ordinal day of the year.
days_in_month,index,The number of days in the month.
daysinmonth,index,The number of days in the month.
freq,index,Return the frequency object if it is set  otherwise None.
freqstr,index,Return the frequency object as a string if its set  otherwise None.
hour,index,The hour of the period.
is_leap_year,index,Logical indicating if the date belongs to a leap year.
minute,index,The minute of the period.
month,index,The month as January=1  December=12.
quarter,index,The quarter of the date.
second,index,The second of the period.
week,index,The week ordinal of the year.
weekday,index,The day of the week with Monday=0  Sunday=6.
weekofyear,index,The week ordinal of the year.
year,index,The year of the period.
asfreq,index,Convert the PeriodArray to the specified frequency freq.
strftime,index,Convert to Index using specified date_format.
to_timestamp,index,Cast to DatetimeArray/Index.
__iter__,Indexing  iteration,Groupby iterator.
groups,Indexing  iteration,Dict {group name -> group labels}.
indices,Indexing  iteration,Dict {group name -> group indices}.
get_group,Indexing  iteration,Construct DataFrame from group with provided name.
Grouper,Indexing  iteration,A Grouper allows the user to specify a groupby instruction for an object.
apply,Function application,Apply function func group-wise and combine the results together.
aggregate,Function application,Aggregate using one or more operations over the specified axis.
aggregate,Function application,Aggregate using one or more operations over the specified axis.
transform,Function application,Call function producing a like-indexed Series on each group and return a Series having the same indexes as the original object filled with the transformed values
transform,Function application,Call function producing a like-indexed DataFrame on each group and return a DataFrame having the same indexes as the original object filled with the transformed values
pipe,Function application,Apply a function func with arguments to this GroupBy object and return the functions result.
all,Computations / descriptive stats,Return True if all values in the group are truthful  else False.
any,Computations / descriptive stats,Return True if any value in the group is truthful  else False.
bfill,Computations / descriptive stats,Backward fill the values.
backfill,Computations / descriptive stats,Backward fill the values.
count,Computations / descriptive stats,Compute count of group  excluding missing values.
cumcount,Computations / descriptive stats,Number each item in each group from 0 to the length of that group - 1.
cummax,Computations / descriptive stats,Cumulative max for each group.
cummin,Computations / descriptive stats,Cumulative min for each group.
cumprod,Computations / descriptive stats,Cumulative product for each group.
cumsum,Computations / descriptive stats,Cumulative sum for each group.
ffill,Computations / descriptive stats,Forward fill the values.
first,Computations / descriptive stats,Compute first of group values.
head,Computations / descriptive stats,Return first n rows of each group.
last,Computations / descriptive stats,Compute last of group values.
max,Computations / descriptive stats,Compute max of group values.
mean,Computations / descriptive stats,Compute mean of groups  excluding missing values.
median,Computations / descriptive stats,Compute median of groups  excluding missing values.
min,Computations / descriptive stats,Compute min of group values.
ngroup,Computations / descriptive stats,Number each group from 0 to the number of groups - 1.
nth,Computations / descriptive stats,Take the nth row from each group if n is an int  or a subset of rows if n is a list of ints.
ohlc,Computations / descriptive stats,Compute open  high  low and close values of a group  excluding missing values.
pad,Computations / descriptive stats,Forward fill the values.
prod,Computations / descriptive stats,Compute prod of group values.
rank,Computations / descriptive stats,Provide the rank of values within each group.
pct_change,Computations / descriptive stats,Calculate pct_change of each value to previous entry in group.
size,Computations / descriptive stats,Compute group sizes.
sem,Computations / descriptive stats,Compute standard error of the mean of groups  excluding missing values.
std,Computations / descriptive stats,Compute standard deviation of groups  excluding missing values.
sum,Computations / descriptive stats,Compute sum of group values.
var,Computations / descriptive stats,Compute variance of groups  excluding missing values.
tail,Computations / descriptive stats,Return last n rows of each group.
all,Computations / descriptive stats,Return True if all values in the group are truthful  else False.
any,Computations / descriptive stats,Return True if any value in the group is truthful  else False.
backfill,Computations / descriptive stats,Backward fill the values.
bfill,Computations / descriptive stats,Backward fill the values.
corr,Computations / descriptive stats,Compute pairwise correlation of columns  excluding NA/null values.
count,Computations / descriptive stats,Compute count of group  excluding missing values.
cov,Computations / descriptive stats,Compute pairwise covariance of columns  excluding NA/null values.
cumcount,Computations / descriptive stats,Number each item in each group from 0 to the length of that group - 1.
cummax,Computations / descriptive stats,Cumulative max for each group.
cummin,Computations / descriptive stats,Cumulative min for each group.
cumprod,Computations / descriptive stats,Cumulative product for each group.
cumsum,Computations / descriptive stats,Cumulative sum for each group.
describe,Computations / descriptive stats,Generate descriptive statistics.
diff,Computations / descriptive stats,First discrete difference of element.
ffill,Computations / descriptive stats,Forward fill the values.
fillna,Computations / descriptive stats,Fill NA/NaN values using the specified method.
filter,Computations / descriptive stats,Return a copy of a DataFrame excluding filtered elements.
hist,Computations / descriptive stats,Make a histogram of the DataFrames columns.
idxmax,Computations / descriptive stats,Return index of first occurrence of maximum over requested axis.
idxmin,Computations / descriptive stats,Return index of first occurrence of minimum over requested axis.
mad,Computations / descriptive stats,Return the mean absolute deviation of the values over the requested axis.
nunique,Computations / descriptive stats,Return DataFrame with counts of unique elements in each position.
pad,Computations / descriptive stats,Forward fill the values.
pct_change,Computations / descriptive stats,Calculate pct_change of each value to previous entry in group.
plot,Computations / descriptive stats,Class implementing the .plot attribute for groupby objects.
quantile,Computations / descriptive stats,Return group values at the given quantile  a la numpy.percentile.
rank,Computations / descriptive stats,Provide the rank of values within each group.
resample,Computations / descriptive stats,Provide resampling when using a TimeGrouper.
sample,Computations / descriptive stats,Return a random sample of items from each group.
shift,Computations / descriptive stats,Shift each group by periods observations.
size,Computations / descriptive stats,Compute group sizes.
skew,Computations / descriptive stats,Return unbiased skew over requested axis.
take,Computations / descriptive stats,Return the elements in the given positional indices along an axis.
tshift,Computations / descriptive stats,(DEPRECATED) Shift the time index  using the indexs frequency if available.
hist,Computations / descriptive stats,Draw histogram of the input series using matplotlib.
nlargest,Computations / descriptive stats,Return the largest n elements.
nsmallest,Computations / descriptive stats,Return the smallest n elements.
nunique,Computations / descriptive stats,Return number of unique elements in the group.
unique,Computations / descriptive stats,Return unique values of Series object.
is_monotonic_increasing,Computations / descriptive stats,Alias for is_monotonic.
is_monotonic_decreasing,Computations / descriptive stats,Return boolean if values in the object are monotonic_decreasing.
corrwith,Computations / descriptive stats,Compute pairwise correlation.
boxplot,Computations / descriptive stats,Make box plots from DataFrameGroupBy data.
